SampleGeneratedData,,,,,,,,,,,,,,,,,
SerialNumber,Test Pass/Fail Status,errCode,TesterID,timeStamp,SOCKET,Vf_LED0_10mA_V,Vf_LED0_20mA_V,Vf_LED1_20mA_V,Vf_LED2_20mA_V,LED0_Ir_20mA_nA,Vj_LED0_20mA_V,NearFieldTest_LED0_5mA_nA,NearFieldTest_LED0_20mA_nA,NearFieldTest_LED1_20mA_nA,NearFieldTest_LED2_Near_20mA_nA,FarFieldTest_LED1_20mA_nA,FarFieldTest_LED2_20mA_nA
N23KG99542X7P16B0,PASS,0,C4,664025231.1,C4,0.5766,0.9229,1.22,0.4388,-0.0558,0.7767,58.5177,147.8726,293.8429,177.0646,197.3227,111.0555
KA4G561N30PWY2G92,PASS,0,C4,664025629.1,C4,0.5779,0.9101,1.2165,0.4404,-0.0419,0.7785,57.4119,146.5382,289.0324,174.7607,194.251,109.5898
KA4G561N30PWY2G92,PASS,0,C4,664025715.4,C4,0.5776,0.9097,1.2187,0.4403,-0.0471,0.7791,57.236,146.362,289.5084,174.7342,194.0544,109.6587
KA4G561N30PWY2G92,PASS,0,C4,664025801.9,C4,0.5776,0.9097,1.2148,0.4402,-0.0561,0.7795,57.1082,146.5152,289.7089,174.9538,193.4155,109.6336
KA4G561N30PWY2G92,PASS,0,C4,664025888.2,C4,0.5776,0.9091,1.2131,0.4402,-0.0641,0.779,56.9693,146.1669,289.6588,174.3795,193.9562,110.0408
KA4G561N30PWY2G92,PASS,0,C4,664025974.6,C4,0.5775,0.909,1.2191,0.4402,-0.0607,0.7788,57.4728,146.2679,289.3581,174.4974,194.1036,109.4395
215N1P4G0A6K39XA2,PASS,0,C4,664026574.1,C4,0.576,0.9083,1.2165,0.4382,-0.0584,0.7783,57.1758,145.4124,292.966,173.4391,196.8558,111.0367
215N1P4G0A6K39XA2,PASS,0,C4,664026661.4,C4,0.576,0.9081,1.2125,0.4382,-0.0719,0.7793,57.3735,145.7154,292.5401,173.2392,196.8804,110.7924
215N1P4G0A6K39XA2,PASS,0,C4,664026748.5,C4,0.5759,0.9094,1.2144,0.4382,-0.0638,0.7788,56.85,145.7602,293.0161,173.3453,196.7821,111.4376
215N1P4G0A6K39XA2,PASS,0,C4,664026835.4,C4,0.5759,0.9075,1.2123,0.4382,-0.0489,0.7787,57.3395,145.624,292.3396,173.3419,197.0155,110.9866
215N1P4G0A6K39XA2,PASS,0,C4,664026922.5,C4,0.5759,0.9091,1.213,0.4382,-0.0492,0.7796,57.4176,145.527,292.6403,173.2338,197.421,110.9929
23G6A5G1NKW9402PY,PASS,0,C4,664027322.1,C4,0.5762,0.9092,1.2193,0.4384,-0.0505,0.7786,58.066,146.696,286.8276,174.6854,193.1452,108.3809
23G6A5G1NKW9402PY,PASS,0,C4,664027755.3,C4,0.5758,0.9075,1.2127,0.4381,-0.0421,0.7772,57.9374,146.7115,286.126,174.6834,193.0347,107.8234
23G6A5G1NKW9402PY,PASS,0,C4,664027495.4,C4,0.5758,0.909,1.2129,0.4382,-0.053,0.7773,57.8086,146.5768,286.3014,174.1013,192.8381,108.3558
23G6A5G1NKW9402PY,PASS,0,C4,664027582.3,C4,0.5758,0.9093,1.2127,0.4382,-0.0521,0.7789,57.5963,146.6498,287.4038,174.3602,193.1329,108.525
23G6A5G1NKW9402PY,PASS,0,C4,664027669.8,C4,0.5758,0.9092,1.2133,0.4381,-0.0526,0.7763,58.2984,146.8915,286.4768,174.6805,193.0224,108.7442
CN396AK4251G0PW22,PASS,0,C4,664028152.9,C4,0.5761,0.9088,1.2131,0.4383,-0.0553,0.7787,57.8112,148.0379,289.7089,177.2545,194.6319,110.0032
CN396AK4251G0PW22,PASS,0,C4,664028239.6,C4,0.5758,0.9089,1.2125,0.4382,-0.0478,0.7771,57.0586,147.7339,288.832,175.795,194.251,110.0909
CN396AK4251G0PW22,PASS,0,C4,664028326.2,C4,0.5757,0.9086,1.2139,0.4381,-0.048,0.7808,57.9693,148.2107,289.1326,176.9862,194.7916,110.7611
CN396AK4251G0PW22,PASS,0,C4,664028412.6,C4,0.5757,0.9086,1.2139,0.4381,-0.0552,0.7782,58.4942,148.2291,289.2328,176.8437,195.1357,110.0094
CN396AK4251G0PW22,PASS,0,C4,664028498.7,C4,0.5757,0.9073,1.2144,0.4381,-0.0674,0.7792,57.9979,148.3197,289.6087,176.9425,194.8899,110.022
1240K02693PC591NG,PASS,0,C4,664028985.1,C4,0.5769,0.925,1.2145,0.4388,-0.0321,0.7777,58.3365,147.5213,290.1348,176.5974,195.7377,110.1473
1240K02693PC591NG,PASS,0,C4,664029072.1,C4,0.5766,0.9252,1.2149,0.4387,-0.0764,0.7782,58.0379,147.4446,290.0847,176.3715,195.8606,110.0345
1240K02693PC591NG,PASS,0,C4,664029158.5,C4,0.5765,0.9251,1.2146,0.4386,-0.0596,0.7763,58.826,147.5538,289.8091,176.3946,195.922,110.166
1240K02693PC591NG,PASS,0,C4,664029245,C4,0.5765,0.925,1.2142,0.4386,-0.049,0.7776,58.0574,147.5323,290.1098,176.2629,195.1602,109.9468
1240K02693PC591NG,PASS,0,C4,664029331.7,C4,0.5765,0.9249,1.2147,0.4386,-0.061,0.7781,57.9955,147.3516,289.9845,175.8753,195.1602,110.1285
02NUAW23K15P9G6L4,PASS,0,C4,664029902.2,C4,0.5774,0.9085,1.2189,0.4396,-0.038,0.7788,57.6783,147.6536,288.0052,176.4856,193.4033,109.2014
02NUAW23K15P9G6L4,PASS,0,C4,664029989.1,C4,0.577,0.9084,1.2129,0.4394,-0.0665,0.7785,57.9235,147.3928,287.2034,175.7201,193.2558,108.9947
02NUAW23K15P9G6L4,PASS,0,C4,664030075.2,C4,0.577,0.9086,1.2097,0.4394,-0.05,0.7793,57.5028,147.5289,287.2285,175.6931,193.0961,108.8068
02NUAW23K15P9G6L4,PASS,0,C4,664030161.1,C4,0.577,0.9089,1.2167,0.4394,-0.0522,0.7787,57.4685,147.426,287.7045,175.4102,193.2435,108.8256
02NUAW23K15P9G6L4,PASS,0,C4,664030247.9,C4,0.577,0.9087,1.2145,0.4394,-0.0564,0.7789,57.7024,147.7795,287.2535,175.646,194.337,109.0511
452NP3K9G5A2W0196,PASS,0,C4,664031112.5,C4,0.5764,0.9083,1.2151,0.4387,-0.0231,0.7793,58.3104,148.1341,294.2438,177.9118,196.6469,110.6797
452NP3K9G5A2W0196,PASS,0,C4,664031546.7,C4,0.5761,0.9085,1.2146,0.4385,-0.0758,0.779,57.7111,148.7674,294.0684,177.5616,196.5732,111.3687
452NP3K9G5A2W0196,PASS,0,C4,664031286.8,C4,0.5761,0.9085,1.2148,0.4385,-0.0484,0.779,58.3797,149.3254,294.2187,178.1947,196.8066,111.2497
452NP3K9G5A2W0196,PASS,0,C4,664031373.8,C4,0.5761,0.9084,1.2178,0.4385,-0.0713,0.7792,58.4657,149.2018,293.9933,177.7692,196.8066,111.2121
452NP3K9G5A2W0196,PASS,0,C4,664031460.4,C4,0.576,0.9085,1.2126,0.4385,-0.0664,0.7799,58.0884,149.0211,294.1686,178.0646,196.3766,111.1119
5214KGYKV2A096P3N,PASS,0,F7,664014371,F7,0.5762,0.9084,1.2042,0.4384,-0.0424,0.7773,60.6357,144.9689,276.3948,171.8653,196.1518,107.9359
5214KGYKV2A096P3N,PASS,0,F7,664014457.5,F7,0.5762,0.9084,1.2042,0.4385,-0.0155,0.7786,60.7612,144.9328,275.5703,171.5185,195.9067,107.736
5214KGYKV2A096P3N,PASS,0,F7,664014543.1,F7,0.5762,0.9086,1.2042,0.4385,-0.0347,0.7796,60.5027,145.3077,275.8202,171.7676,196.1273,107.6736
5214KGYKV2A096P3N,PASS,0,F7,664014629.3,F7,0.5762,0.9084,1.2041,0.4385,-0.0281,0.7793,60.3163,144.9781,276.2949,172.2383,195.9067,106.4556
5214KGYKV2A096P3N,PASS,0,F7,664014715.8,F7,0.5762,0.9084,1.2044,0.4384,-0.0449,0.7785,60.3236,144.5012,276.5697,171.3236,195.9925,107.9421
K65P3GW2N2C4910A2,PASS,0,F7,664015271.9,F7,0.5762,0.9095,1.2056,0.4385,-0.0212,0.776,59.473,145.451,277.7189,170.3338,196.1028,108.0546
K65P3GW2N2C4910A2,PASS,0,F7,664015358.7,F7,0.5761,0.909,1.2043,0.4385,-0.0221,0.7785,59.7883,144.8541,277.644,170.3677,196.0783,107.8734
K65P3GW2N2C4910A2,PASS,0,F7,664015445.4,F7,0.5761,0.909,1.2046,0.4384,-0.0151,0.7779,60.4885,144.9666,277.2193,170.6768,196.2008,107.786
K65P3GW2N2C4910A2,PASS,0,F7,664015531.5,F7,0.5761,0.909,1.2044,0.4384,-0.0456,0.7791,60.0241,144.8164,277.5191,170.9024,195.8945,107.8984
K65P3GW2N2C4910A2,PASS,0,F7,664015618,F7,0.5761,0.9089,1.2042,0.4384,-0.042,0.777,59.7468,144.8789,277.1193,170.512,195.6616,107.8609
ZCG5AN90XP3614K22,PASS,0,F7,664016172.5,F7,0.5763,0.9104,1.2037,0.4385,-0.0468,0.7776,60.7744,146.5641,272.1226,172.7756,193.0025,106.2807
ZCG5AN90XP3614K22,PASS,0,F7,664016259.4,F7,0.5762,0.9105,1.2038,0.4385,-0.0191,0.7766,60.7985,146.7399,272.7472,172.6734,193.0025,106.4369
ZCG5AN90XP3614K22,PASS,0,F7,664016346.3,F7,0.5762,0.9103,1.2038,0.4385,-0.0353,0.7786,60.9451,144.5237,272.5223,172.7601,193.4191,106.3869
ZCG5AN90XP3614K22,PASS,0,F7,664016433.4,F7,0.5762,0.9104,1.2036,0.4385,-0.0394,0.779,60.8738,146.7856,272.1476,172.6757,193.0883,106.4119
ZCG5AN90XP3614K22,PASS,0,F7,664016519.4,F7,0.5762,0.9104,1.2037,0.4384,-0.0436,0.7787,60.629,146.502,272.3724,172.2291,193.4191,106.3994
P903K46G09125DY2N,PASS,0,F7,664017073.7,F7,0.5763,0.9225,1.2051,0.4388,-0.0297,0.7782,60.5355,145.3692,279.0431,171.2531,197.4385,108.4293
P903K46G09125DY2N,PASS,0,F7,664017160.4,F7,0.5762,0.9225,1.205,0.4388,-0.0584,0.777,60.0039,145.3248,278.7683,170.9264,197.0463,108.3669
P903K46G09125DY2N,PASS,0,F7,664017246,F7,0.5762,0.9222,1.2049,0.4387,-0.0291,0.7774,60.7447,144.8178,278.9182,170.7547,197.5733,108.4918
P903K46G09125DY2N,PASS,0,F7,664017332.9,F7,0.5762,0.9223,1.2052,0.4387,-0.0214,0.7779,60.4739,145.7057,278.7433,171.3791,197.3159,107.4924
P903K46G09125DY2N,PASS,0,F7,664017419.9,F7,0.5762,0.9223,1.2051,0.4387,-0.0415,0.7771,60.2607,145.2708,279.0181,170.7995,197.5488,108.4418
2P62N9AG45301XVKL,PASS,0,F7,664017970.5,F7,0.5763,0.9091,1.2048,0.4384,-0.0213,0.777,60.3718,144.6722,275.9701,170.9188,196.2253,107.9109
2P62N9AG45301XVKL,PASS,0,F7,664018057.4,F7,0.5763,0.909,1.2045,0.4384,-0.0392,0.7771,60.1303,144.3036,276.4448,171.0021,196.2253,108.4793
2P62N9AG45301XVKL,PASS,0,F7,664018143.5,F7,0.5762,0.9091,1.2047,0.4384,-0.0263,0.7767,59.8076,143.903,276.3698,170.4776,195.8945,108.3419
2P62N9AG45301XVKL,PASS,0,F7,664018229.1,F7,0.5762,0.9092,1.2046,0.4384,-0.054,0.7778,60.0676,144.3416,276.4448,170.8488,195.9557,108.1732
2P62N9AG45301XVKL,PASS,0,F7,664018315.6,F7,0.5762,0.9091,1.2046,0.4384,-0.0479,0.7786,60.0192,144.386,276.5447,170.8759,195.8822,108.1233
2DAGKN59210143WP6,PASS,0,F7,664018867.8,F7,0.5761,0.9082,1.2045,0.4383,-0.0365,0.7786,59.8217,144.6569,276.7696,170.8045,195.6739,108.0858
2DAGKN59210143WP6,PASS,0,F7,664018954.9,F7,0.576,0.9083,1.204,0.4382,-0.037,0.7793,59.7312,144.4878,276.7196,170.4671,195.9802,108.0546
2DAGKN59210143WP6,PASS,0,F7,664019041.7,F7,0.576,0.9083,1.204,0.4382,-0.0428,0.7777,59.9108,144.7631,276.9694,171.1813,194.0073,107.9296
2DAGKN59210143WP6,PASS,0,F7,664019128.7,F7,0.576,0.9082,1.2043,0.4382,-0.0225,0.7765,59.8587,144.6866,276.2949,170.8039,195.6616,107.9921
2DAGKN59210143WP6,PASS,0,F7,664019300.6,F7,0.576,0.9082,1.204,0.4382,-0.0252,0.7789,60.1209,144.9308,276.4198,170.6593,196.1886,108.1295
6293UN0G952BKP41A,PASS,0,F7,664019767.7,F7,0.5764,0.925,1.2052,0.4388,-0.0392,0.777,61.1484,146.7738,278.3435,172.8409,197.1199,108.2357
6293UN0G952BKP41A,PASS,0,F7,664019855.1,F7,0.5763,0.9248,1.2052,0.4387,-0.0334,0.7786,61.1571,146.822,278.1686,172.6968,196.7032,108.1795
6293UN0G952BKP41A,PASS,0,F7,664019941.4,F7,0.5763,0.9249,1.2047,0.4387,-0.0209,0.7757,61.4136,146.5396,277.9938,172.863,197.2302,107.9858
6293UN0G952BKP41A,PASS,0,F7,664020026.9,F7,0.5762,0.9249,1.2048,0.4387,-0.0277,0.7769,61.4826,147.5925,278.0937,173.6456,196.74,108.4543
6293UN0G952BKP41A,PASS,0,F7,664020113.7,F7,0.5762,0.9249,1.205,0.4387,-0.016,0.7756,60.9906,146.8998,278.3186,172.7802,196.74,108.1607
Z652P1K4D9NZ23G09,PASS,0,F7,664020665.2,F7,0.5763,0.9225,1.2047,0.4388,-0.0312,0.7776,59.8805,144.1759,280.8669,169.2512,199.0315,109.4786
Z652P1K4D9NZ23G09,PASS,0,F7,664020751.5,F7,0.5763,0.9224,1.205,0.4388,-0.0524,0.7774,60.0398,144.4698,280.4671,169.4723,198.909,109.2663
Z652P1K4D9NZ23G09,PASS,0,F7,664020838.5,F7,0.5762,0.9224,1.2046,0.4387,-0.0407,0.7789,60.0249,143.9732,280.1923,168.6226,198.8845,109.36
Z652P1K4D9NZ23G09,PASS,0,F7,664020923.8,F7,0.5762,0.9224,1.205,0.4387,-0.0307,0.7774,59.5282,144.4185,280.6171,169.079,199.0438,109.5036
Z652P1K4D9NZ23G09,PASS,0,F7,664021010.3,F7,0.5762,0.9223,1.205,0.4387,-0.0348,0.7788,59.9738,144.394,280.5921,169.4313,199.0683,109.2101
59G04D18PN3Q2269K,PASS,0,G4,664024841.9,G4,0.577,0.9158,1.2169,0.4391,-0.062,0.778,57.7697,145.9805,290.0095,174.6505,195.0742,109.571
59G04D18PN3Q2269K,PASS,0,G4,664024927.6,G4,0.5771,0.9157,1.2171,0.4392,-0.0342,0.7765,58.0857,146.3004,290.1849,174.6068,195.4797,109.5522
59G04D18PN3Q2269K,PASS,0,G4,664025014.1,G4,0.5771,0.9173,1.2155,0.4392,-0.0582,0.7782,58.3909,146.2885,290.3102,174.8052,195.8114,109.6211
59G04D18PN3Q2269K,PASS,0,G4,664025276.9,G4,0.5771,0.9189,1.2206,0.4392,-0.0452,0.7773,57.9711,146.0829,290.4104,174.9772,195.5165,109.8341
59G04D18PN3Q2269K,PASS,0,G4,664025363.1,G4,0.5771,0.9167,1.221,0.4392,-0.0559,0.7792,57.4562,146.1195,290.0095,174.7802,194.7916,109.6399
9PN5W03E0KAG62142,PASS,0,G4,664025844.9,G4,0.5762,0.9085,1.211,0.4381,-0.0579,0.7776,56.6808,143.9925,287.003,171.4878,195.1848,108.2744
9PN5W03E0KAG62142,PASS,0,G4,664026018.2,G4,0.5761,0.908,1.2131,0.438,-0.0476,0.7774,56.8965,144.0294,286.8025,171.5207,194.0299,108.7442
9PN5W03E0KAG62142,PASS,0,G4,664026105.8,G4,0.5761,0.9065,1.2192,0.438,-0.0317,0.7776,56.1774,143.6261,287.1282,171.2997,192.3712,108.4185
9PN5W03E0KAG62142,PASS,0,G4,664026192.7,G4,0.5761,0.9072,1.2131,0.438,-0.0597,0.7778,56.1111,143.4881,287.4038,171.0457,193.5998,108.6126
9PN5W03E0KAG62142,PASS,0,G4,664026305.2,G4,0.5761,0.9065,1.2129,0.438,-0.0541,0.7771,56.4824,143.8543,287.6794,171.7924,193.6367,108.2995
K3Y0DN1A5G62X924P,PASS,0,G4,664026618.3,G4,0.5764,0.9097,1.2149,0.4383,-0.0518,0.7788,58.0508,146.4652,288.0052,174.933,193.4524,108.5437
K3Y0DN1A5G62X924P,PASS,0,G4,664026704.9,G4,0.5764,0.9092,1.2145,0.4383,-0.0675,0.7774,58.2005,146.4529,287.6043,175.4183,193.3787,108.55
K3Y0DN1A5G62X924P,PASS,0,G4,664026792.2,G4,0.5763,0.909,1.2141,0.4383,-0.0554,0.7776,57.9472,146.1615,287.6043,174.793,193.6244,108.7254
K3Y0DN1A5G62X924P,PASS,0,G4,664026879.3,G4,0.5763,0.9095,1.2134,0.4383,-0.0592,0.7781,57.6007,146.1416,287.8298,175.2788,193.305,108.2055
K3Y0DN1A5G62X924P,PASS,0,G4,664027052.4,G4,0.5763,0.9096,1.2149,0.4382,-0.0533,0.7781,59.9556,146.4672,287.7295,175.1191,195.5903,108.4811
90NY216PKA6G35422,PASS,0,G4,664027451.5,G4,0.5762,0.9121,1.2133,0.4381,-0.0556,0.7778,56.9844,143.5345,286.101,171.1177,192.8504,108.3182
90NY216PKA6G35422,PASS,0,G4,664027538.6,G4,0.5762,0.9096,1.2156,0.4381,-0.0545,0.778,56.8645,142.9876,286.3766,171.2706,192.8135,108.525
90NY216PKA6G35422,PASS,0,G4,664027625.9,G4,0.5762,0.9102,1.2132,0.4382,-0.0599,0.7793,57.0055,143.5533,286.1761,171.3271,193.0838,108.337
90NY216PKA6G35422,PASS,0,G4,664027798.9,G4,0.5762,0.9106,1.2172,0.4381,-0.0471,0.7802,56.5694,143.0882,285.8254,170.5171,193.2067,108.9258
90NY216PKA6G35422,PASS,0,G4,664027885,G4,0.5762,0.9104,1.2135,0.4381,-0.0396,0.7768,57.0895,143.8583,286.2263,171.3501,193.1084,108.5124
56NG10P2639A42Y2K,PASS,0,G4,664028196.1,G4,0.5765,0.9111,1.2189,0.4384,-0.0538,0.7781,57.132,144.1305,288.6315,171.9987,194.3125,108.8444
56NG10P2639A42Y2K,PASS,0,G4,664028282.8,G4,0.5764,0.91,1.2144,0.4384,-0.0795,0.7774,56.9447,144.2313,288.2808,171.6695,193.8456,109.1075
56NG10P2639A42Y2K,PASS,0,G4,664028369.5,G4,0.5764,0.908,1.2189,0.4384,-0.064,0.7778,57.0175,144.4134,288.9071,172.0439,194.0913,109.1137
56NG10P2639A42Y2K,PASS,0,G4,664028455.7,G4,0.5764,0.9099,1.2183,0.4384,-0.048,0.7769,57.1491,144.0755,288.7067,172.0026,193.6858,109.0323
56NG10P2639A42Y2K,PASS,0,G4,664028542.2,G4,0.5764,0.9117,1.2149,0.4384,-0.0547,0.7762,57.5119,144.1592,288.6816,172.3234,194.0176,109.0135
622YA1Y09AKP53GN4,PASS,0,G4,664029202.2,G4,0.5769,0.9106,1.2179,0.4387,-0.0517,0.7785,57.8595,146.4109,291.4627,175.0505,194.9759,109.7151
622YA1Y09AKP53GN4,PASS,0,G4,664029288.3,G4,0.5769,0.9116,1.2162,0.4387,-0.0602,0.7775,57.7179,146.9056,291.5128,175.1281,194.9391,109.8403
622YA1Y09AKP53GN4,PASS,0,G4,664029374.6,G4,0.5769,0.9111,1.2194,0.4387,-0.0598,0.7774,57.6716,146.5321,291.5629,175.4818,194.5828,109.7777
622YA1Y09AKP53GN4,PASS,0,G4,664029461.6,G4,0.5769,0.9117,1.2161,0.4387,-0.0676,0.7779,57.4835,146.4498,291.5379,175.3546,194.6442,109.6775
622YA1Y09AKP53GN4,PASS,0,G4,664029548.7,G4,0.5769,0.911,1.2191,0.4387,-0.0625,0.7777,57.654,146.5696,291.5629,175.2151,194.9882,109.6587
952X326K410NXGAPE,PASS,0,G4,664029945.7,G4,0.5762,0.9079,1.2121,0.438,-0.0679,0.7781,57.8004,147.4545,290.4605,175.8891,195.0005,109.596
952X326K410NXGAPE,PASS,0,G4,664030118.5,G4,0.5761,0.91,1.2135,0.438,-0.064,0.7781,57.9931,147.4355,290.4355,175.7594,194.9882,109.2954
952X326K410NXGAPE,PASS,0,G4,664030204.8,G4,0.5761,0.9096,1.2145,0.438,-0.0569,0.7794,57.5085,147.1563,290.7111,175.2932,194.6933,109.5271
952X326K410NXGAPE,PASS,0,G4,664030464.6,G4,0.5762,0.9102,1.2186,0.4381,-0.0491,0.7783,57.8721,147.5804,290.6359,175.5594,194.7794,109.3893
952X326K410NXGAPE,PASS,0,G4,664030550.8,G4,0.5763,0.9085,1.2136,0.4382,-0.0422,0.7785,58.0047,147.0157,290.9867,175.9951,195.1111,109.4395
X16Q23GK29M54A0NP,PASS,0,G4,664031155.4,G4,0.5762,0.9094,1.2147,0.4382,-0.0631,0.7775,57.7599,146.0279,291.588,175.2427,195.5411,110.0846
X16Q23GK29M54A0NP,PASS,0,G4,664031242.9,G4,0.5762,0.909,1.2179,0.4382,-0.0553,0.7792,57.7196,146.299,291.6632,175.4765,195.7254,110.2099
X16Q23GK29M54A0NP,PASS,0,G4,664031330.2,G4,0.5762,0.9094,1.2186,0.4383,-0.0568,0.7778,57.5677,146.3219,291.5128,175.2594,195.6394,110.1535
X16Q23GK29M54A0NP,PASS,0,G4,664031417,G4,0.5762,0.908,1.2133,0.4382,-0.0518,0.7762,57.6341,145.9311,291.6632,174.8644,195.6763,110.0094
X16Q23GK29M54A0NP,PASS,0,G4,664031763.6,G4,0.5762,0.9089,1.2177,0.4382,-0.0398,0.7783,57.7584,146.1718,291.5629,175.2771,195.9466,110.141
9K4059PG3D16S2N62,PASS,0,H2,664014393.2,H2,0.5782,0.9197,1.2129,0.4403,-0.038,0.7778,61.5581,146.5953,287.7571,176.5059,205.8459,108.5622
9K4059PG3D16S2N62,PASS,0,H2,664014478.9,H2,0.5778,0.9187,1.2129,0.44,-0.0625,0.7785,61.6717,147.0191,287.5265,176.5676,205.8335,108.6903
9K4059PG3D16S2N62,PASS,0,H2,664014565.1,H2,0.5777,0.9196,1.2127,0.44,-0.0563,0.7779,61.5795,146.9699,287.3728,176.3054,205.933,108.6391
9K4059PG3D16S2N62,PASS,0,H2,664014650.8,H2,0.5776,0.9182,1.2129,0.4399,-0.0251,0.7782,61.434,147.1746,287.5521,176.414,205.7464,108.8568
9K4059PG3D16S2N62,PASS,0,H2,664014737.8,H2,0.5776,0.9194,1.2129,0.4399,-0.0337,0.7783,62.142,147.4475,287.3216,176.7693,205.8833,108.6327
65QK31NP4ATG09252,PASS,0,H2,664015293.8,H2,0.5773,0.9081,1.2078,0.44,-0.0324,0.7777,59.2774,138.4086,280.3787,168.064,202.4131,106.9866
65QK31NP4ATG09252,PASS,0,H2,664015380.6,H2,0.5771,0.908,1.208,0.4399,-0.0412,0.7773,59.2272,138.3232,280.1738,167.6061,202.4007,106.9098
65QK31NP4ATG09252,PASS,0,H2,664015467.1,H2,0.5771,0.9068,1.208,0.4399,-0.0443,0.7782,59.4567,138.0073,280.2506,167.7251,202.4753,106.9738
65QK31NP4ATG09252,PASS,0,H2,664015553,H2,0.5771,0.908,1.208,0.4399,-0.0527,0.7779,58.5226,138.1682,280.1225,167.3786,202.2141,107.0122
65QK31NP4ATG09252,PASS,0,H2,664015639.6,H2,0.5771,0.908,1.2077,0.4399,-0.0399,0.7786,59.3459,138.7185,279.8919,167.9012,202.3012,107.0122
K25Y214G9003PAN68,PASS,0,H2,664016195,H2,0.5764,0.9126,1.2067,0.4389,-0.0353,0.7778,60.9299,143.9109,283.3249,172.6558,202.6494,107.2684
K25Y214G9003PAN68,PASS,0,H2,664016281.4,H2,0.5763,0.9123,1.2068,0.4388,-0.0431,0.7778,60.8445,143.7092,283.6836,173.5651,202.5872,107.0955
K25Y214G9003PAN68,PASS,0,H2,664016368.1,H2,0.5762,0.9123,1.2066,0.4388,-0.0402,0.7783,61.3265,144.0827,283.2993,173.3752,202.9977,107.1083
K25Y214G9003PAN68,PASS,0,H2,664016454.7,H2,0.5762,0.9126,1.2069,0.4388,-0.0436,0.7786,60.8778,143.8921,283.5043,173.1768,202.7862,107.1467
K25Y214G9003PAN68,PASS,0,H2,664016540.7,H2,0.5762,0.9125,1.2062,0.4388,-0.0426,0.7784,61.0457,143.4446,283.5811,173.1091,202.9231,107.0891
VK30P2DA429514N6G,PASS,0,H2,664017096,H2,0.5784,0.909,1.2094,0.4408,-0.0231,0.7779,60.823,141.4954,280.7374,172.3862,201.7042,106.6279
VK30P2DA429514N6G,PASS,0,H2,664017181.5,H2,0.5782,0.9084,1.2096,0.4407,-0.035,0.7786,60.2678,141.3776,280.8911,171.9472,201.4803,106.6023
VK30P2DA429514N6G,PASS,0,H2,664017267.4,H2,0.5782,0.9102,1.2094,0.4407,-0.0346,0.7779,60.2105,141.2743,280.8911,171.9009,201.5673,106.6023
VK30P2DA429514N6G,PASS,0,H2,664017354.8,H2,0.5782,0.9102,1.2088,0.4407,-0.0312,0.7797,60.4953,141.2918,280.3275,172.1902,201.6046,106.5255
VK30P2DA429514N6G,PASS,0,H2,664017441.6,H2,0.5781,0.9085,1.2093,0.4406,-0.0507,0.779,60.1961,141.1878,280.763,172.311,201.4554,106.5511
429G9P2DVN30356K1,PASS,0,H2,664017993.1,H2,0.5778,0.9205,1.212,0.4403,-0.0475,0.7767,61.9332,147.272,290.4728,176.8643,207.7489,109.7279
429G9P2DVN30356K1,PASS,0,H2,664018078.6,H2,0.5776,0.9217,1.2118,0.4402,-0.0355,0.778,61.4559,147.1797,290.4984,176.8509,207.326,109.8432
429G9P2DVN30356K1,PASS,0,H2,664018164.9,H2,0.5776,0.9214,1.2121,0.4402,-0.0449,0.777,60.9374,146.4573,290.2934,176.1912,207.4629,109.7471
429G9P2DVN30356K1,PASS,0,H2,664018250.7,H2,0.5776,0.9215,1.2118,0.4402,-0.0574,0.7782,61.9237,147.4796,290.3447,176.879,207.5499,109.7663
429G9P2DVN30356K1,PASS,0,H2,664018336.8,H2,0.5776,0.9218,1.2121,0.4402,-0.0361,0.7801,61.5886,147.0861,289.0124,175.6514,207.5126,109.8304
63A9304NP2125Y5KG,PASS,0,H2,664018889.6,H2,0.5764,0.9118,1.2064,0.4386,-0.043,0.7793,61.4048,146.3457,282.8126,176.4877,202.8982,107.3004
63A9304NP2125Y5KG,PASS,0,H2,664018977.2,H2,0.5762,0.9117,1.2065,0.4385,-0.0409,0.7791,61.7635,146.2179,282.6845,176.0129,202.9355,107.3837
63A9304NP2125Y5KG,PASS,0,H2,664019063.4,H2,0.5762,0.912,1.2053,0.4385,-0.0468,0.7786,61.283,145.9997,282.6076,176.4055,203.0972,107.294
63A9304NP2125Y5KG,PASS,0,H2,664019150.5,H2,0.5762,0.9118,1.2055,0.4385,-0.0378,0.7801,61.7495,145.6975,283.0175,176.4593,202.9355,107.4093
63A9304NP2125Y5KG,PASS,0,H2,664019236.9,H2,0.5762,0.9114,1.2064,0.4384,-0.0414,0.7801,61.7289,146.2336,282.8894,176.539,203.0226,107.3773
NY10A9P7425K62G31,PASS,0,H2,664019789.3,H2,0.5762,0.9131,1.2058,0.4385,-0.0418,0.7791,61.1898,147.0588,284.9902,175.9377,203.7688,108.1523
NY10A9P7425K62G31,PASS,0,H2,664019876.1,H2,0.5761,0.913,1.2047,0.4384,-0.0254,0.7794,61.601,147.4814,284.9902,176.7999,203.943,107.8705
NY10A9P7425K62G31,PASS,0,H2,664019963.3,H2,0.576,0.913,1.2054,0.4384,-0.0412,0.7785,61.3188,146.7674,285.5794,176.3866,203.9803,107.9345
